Fecha,Consumo Total,Consumo Promedio
2007-01-01,68726.1001585399,2216.970972856126
2007-02-01,62165.753056988404,2220.2054663210142
2007-03-01,65593.1800085127,2115.909032532668
2007-04-01,61198.7448248825,2039.9581608294168
2007-05-01,65472.4282238526,2112.0138136726646
2007-06-01,65378.2676253119,2179.2755875103967
2007-07-01,67664.5337579101,2182.726895416455
2007-08-01,66960.5181985725,2160.016716082984
2007-09-01,65092.1786328019,2169.7392877600632
2007-10-01,60223.5316529124,1942.6945694487872
2007-11-01,57623.1265877422,1920.7708862580732
2007-12-01,58636.7884589628,1891.5093051278322
2008-01-01,59639.4362711048,1923.8527829388645
2008-02-01,56563.0123041842,1950.4487001442828
2008-03-01,61860.0422257045,1995.485233087242
2008-04-01,61835.3976308943,2061.17992102981
2008-05-01,60976.2669908982,1966.9763545451033
2008-06-01,56855.834473818,1895.1944824606
2008-07-01,59954.0447498341,1934.0014435430355
2008-08-01,59797.515582688,1928.9521155705806
2008-09-01,57610.9952217994,1920.3665073933132
2008-10-01,61470.0654824069,1982.905338142158
2008-11-01,62093.5616777604,2069.78538925868
2008-12-01,62936.7646564457,2030.2182147240549
2009-01-01,63567.2596425651,2050.55676266339
2009-02-01,58716.0231004523,2097.0008250161536
2009-03-01,67414.4045420582,2174.6582110341355
2009-04-01,63770.5179247671,2125.68393082557
2009-05-01,68652.4362077507,2214.5947163790547
2009-06-01,68750.93966910889,2291.6979889702966
2009-07-01,71303.5400322159,2300.1141945876097
2009-08-01,65003.13307711866,2096.875260552215
2009-09-01,63653.5561447213,2121.7852048240434
2009-10-01,65641.7855604658,2117.4769535634127
2009-11-01,69761.74666207269,2325.391555402423
2009-12-01,71441.0490863381,2304.5499705270354
2010-01-01,73455.4303848346,2369.5300124140194
2010-02-01,65457.804845057,2337.7787444663213
2010-03-01,73521.1162377999,2371.6489108967708
2010-04-01,61562.5547149122,2052.08515716374
2010-05-01,67769.1178103233,2186.100574526558
2010-06-01,68504.7575549434,2283.491918498113
2010-07-01,68776.0932209434,2218.5836522884965
2010-08-01,71136.0122319446,2294.7100719982127
2010-09-01,66696.1055142021,2223.2035171400703
2010-10-01,73631.2698558482,2375.202253414458
2010-11-01,70990.1235333767,2366.3374511125567
2010-12-01,72574.44064600891,2341.1109885809324
2011-01-01,70881.02165533681,2286.4845695269937
2011-02-01,64847.3160423386,2315.9755729406643
2011-03-01,66930.3841353508,2159.0446495274455
2011-04-01,67965.6443250223,2265.521477500743
2011-05-01,71562.2091661054,2308.4583601969484
2011-06-01,71283.6967255739,2376.1232241857965
2011-07-01,73947.6306034674,2385.407438821529
2011-08-01,70998.4931132652,2290.2739713956516
2011-09-01,70709.9481494293,2356.9982716476434
2011-10-01,71570.330256775,2308.72033086371
2011-11-01,68924.981944378,2297.4993981459334
2011-12-01,69782.50545928889,2251.0485632028676
2012-01-01,67538.44186632399,2178.6594150427095
2012-02-01,65096.5295403678,2244.7079151850967
2012-03-01,69901.55631971669,2254.8889135392483
2012-04-01,66307.6408746008,2210.2546958200264
2012-05-01,70074.7598619569,2260.476124579255
2012-06-01,72210.3198841727,2407.0106628057565
2012-07-01,72350.888093553,2333.8996159210647
2012-08-01,79217.4287947905,2555.4009288642096
2012-09-01,78119.13983694601,2603.9713278982003
2012-10-01,75040.3073622864,2420.6550762027873
2012-11-01,72357.6874331636,2411.922914438787
2012-12-01,77813.64731046579,2510.117655176316
